title,categories,manufacturer,brand,category_code,brand01,title_clean,categories_clean,manufacturer_clean,brand_clean,category_code_clean,brand01_clean,max_match_score,match_count
"Sony Wireless Over-Ear Headphones with ANC & Hi-Res (2025), 24h Battery",electronics > headphones,Sony,Sony,,,sony wireless over ear headphones with anc   hi res  2025  24h battery,electronics   headphones,sony,sony,,,88.0,0
OnePlus 16 Pro 128GB/8GB 5G Smartphone (2023),electronics > mobile phones,OnePlus,OnePlus,,,oneplus 16 pro 128gb 8gb 5g smartphone  2023,electronics   mobile phones,oneplus,oneplus,,,72.72727272727273,1
"Bose Wireless On-Ear Headphones with ANC & LDAC (2025), 30h Battery",electronics > headphones,Bose,Bose,,,bose wireless on ear headphones with anc   ldac  2025  30h battery,electronics   headphones,bose,bose,,,88.0,0
"JBL Wireless Over-Ear Headphones with Multipoint & LDAC (2025), 40h Battery",electronics > headphones,JBL,JBL,,,jbl wireless over ear headphones with multipoint   ldac  2025  40h battery,electronics   headphones,jbl,jbl,,,88.0,0
"SteelSeries Wireless On-Ear Headphones with ANC & Hi-Res (2024), 20h Battery",electronics > headphones,SteelSeries,SteelSeries,,,steelseries wireless on ear headphones with anc   hi res  2024  20h battery,electronics   headphones,steelseries,steelseries,,,88.0,0
"Bowers & Wilkins Wireless On-Ear Headphones with LDAC & Hi-Res (2025), 24h Battery",electronics > headphones,Bowers & Wilkins,Bowers & Wilkins,,,bowers   wilkins wireless on ear headphones with ldac   hi res  2025  24h battery,electronics   headphones,bowers   wilkins,bowers   wilkins,,,88.0,0
"Skullcandy Wireless On-Ear Headphones with Spatial Audio & LDAC (2024), 20h Battery",electronics > headphones,Skullcandy,Skullcandy,,,skullcandy wireless on ear headphones with spatial audio   ldac  2024  20h battery,electronics   headphones,skullcandy,skullcandy,,,88.0,0
"Sony Wireless In-Ear Headphones with LDAC & Multipoint (2023), 20h Battery",electronics > headphones,Sony,Sony,,,sony wireless in ear headphones with ldac   multipoint  2023  20h battery,electronics   headphones,sony,sony,,,88.0,0
"Apple Wireless In-Ear Headphones with Low-Latency & Multipoint (2025), 24h Battery",electronics > headphones,Apple,Apple,,,apple wireless in ear headphones with low latency   multipoint  2025  24h battery,electronics   headphones,apple,apple,,,88.0,0
"Sony Wireless Over-Ear Headphones with Spatial Audio & ANC (2023), 24h Battery",electronics > headphones,Sony,Sony,,,sony wireless over ear headphones with spatial audio   anc  2023  24h battery,electronics   headphones,sony,sony,,,88.0,0
"Audio-Technica Wireless On-Ear Headphones with Multipoint & ANC (2025), 60h Battery",electronics > headphones,Audio-Technica,Audio-Technica,,,audio technica wireless on ear headphones with multipoint   anc  2025  60h battery,electronics   headphones,audio technica,audio technica,,,88.0,0
"Bose Wireless Over-Ear Headphones with Spatial Audio & Low-Latency (2023), 20h Battery",electronics > headphones,Bose,Bose,,,bose wireless over ear headphones with spatial audio   low latency  2023  20h battery,electronics   headphones,bose,bose,,,88.0,0
"HyperX Wireless In-Ear Headphones with Spatial Audio & Multipoint (2023), 24h Battery",electronics > headphones,HyperX,HyperX,,,hyperx wireless in ear headphones with spatial audio   multipoint  2023  24h battery,electronics   headphones,hyperx,hyperx,,,88.0,0
