title,categories,manufacturer,brand,category_code,brand01,title_clean,categories_clean,manufacturer_clean,brand_clean,category_code_clean,brand01_clean,max_match_score,match_count
"LG 43"" 4K Mini-LED Google TV Series 10 (2023)",electronics > televisions,LG,LG,,,lg 43  4k mini led google tv series 10  2023,electronics   televisions,lg,lg,,,50.0,0
Samsung 22 SE 64GB/16GB 5G Smartphone (2024),electronics > mobile phones,Samsung,Samsung,,,samsung 22 se 64gb 16gb 5g smartphone  2024,electronics   mobile phones,samsung,samsung,,,72.0,0
"Sony Wireless Over-Ear Headphones with ANC & Hi-Res (2025), 24h Battery",electronics > headphones,Sony,Sony,,,sony wireless over ear headphones with anc   hi res  2025  24h battery,electronics   headphones,sony,sony,,,59.25925925925925,0
Google Sport 47mm Smartwatch (2024) with GPS + Cellular & SpO2,electronics > watches,Google,Google,,,google sport 47mm smartwatch  2024  with gps   cellular   spo2,electronics   watches,google,google,,,46.15384615384615,0
"TCL 65"" 4K Mini-LED Google TV Series 8 (2025)",electronics > televisions,TCL,TCL,,,tcl 65  4k mini led google tv series 8  2025,electronics   televisions,tcl,tcl,,,44.44444444444444,0
OnePlus 16 Pro 128GB/8GB 5G Smartphone (2023),electronics > mobile phones,OnePlus,OnePlus,,,oneplus 16 pro 128gb 8gb 5g smartphone  2023,electronics   mobile phones,oneplus,oneplus,,,72.72727272727273,0
"Bose Wireless On-Ear Headphones with ANC & LDAC (2025), 30h Battery",electronics > headphones,Bose,Bose,,,bose wireless on ear headphones with anc   ldac  2025  30h battery,electronics   headphones,bose,bose,,,62.5,0
Huawei Gen 3 49mm Smartwatch (2023) with Heart Rate & SpO2,electronics > watches,Huawei,Huawei,,,huawei gen 3 49mm smartwatch  2023  with heart rate   spo2,electronics   watches,huawei,huawei,,,48.275862068965516,0
"Philips 43"" 8K Mini-LED Roku TV Series 10 (2023)",electronics > televisions,Philips,Philips,,,philips 43  8k mini led roku tv series 10  2023,electronics   televisions,philips,philips,,,46.15384615384615,0
Samsung 12 SE 128GB/8GB 5G Smartphone (2023),electronics > mobile phones,Samsung,Samsung,,,samsung 12 se 128gb 8gb 5g smartphone  2023,electronics   mobile phones,samsung,samsung,,,72.0,0
